node,tsne_x,tsne_y,display_x,display_y,role
0,-5.2489643,11.947072,-0.19721330184085845,0.10684070721283526,node
1,-5.4201417,9.384597,-0.17421602039478504,0.07072621436919016,node
2,10.137184,-0.54261196,0.13278504785822665,0.09094561789337274,node
3,13.226134,0.6921449,0.1620928104102794,0.13802779014286345,node
4,15.044344,4.704475,0.14690892201142966,0.209879414465713,node
5,13.030638,6.8470926,0.09870449166274789,0.21878419325321777,node
6,10.574521,8.806084,0.04636943513805132,0.22085460687749575,node
7,-6.4938817,-3.4299831,-0.06213452175615778,-0.11202651572080025,node
8,-4.0499024,-2.742614,-0.036087538197142825,-0.07866520937619934,node
9,-4.7729907,0.6320009,-0.07911598851923705,-0.04046856833000758,node
10,-3.677064,3.1357129,-0.0891099541837691,0.003985669490773578,node
11,-1.2664818,6.039475,-0.08539199165106931,0.0667925828837565,node
12,0.76274896,8.816747,-0.08554843005587255,0.12413548798201378,node
13,5.3684382,14.117413,-0.07600348129364635,0.24081293936144654,node
14,6.0665693,16.66654,-0.09178983078634276,0.28195023524277785,node
15,3.079007,19.717003,-0.16203947082865222,0.29343715423281264,node
16,2.589928,21.905325,-0.19021306013030584,0.31800713748290077,node
17,-10.736787,-8.643648,-0.06766466272765259,-0.2239537635788516,node
18,-13.785838,-5.8422384,-0.1362816835376213,-0.21641967371958826,node
19,-16.107304,-9.125098,-0.13505995743248175,-0.2834396620549091,start
20,-16.376131,-11.792781,-0.11233590543595888,-0.3219315319975874,node
21,-13.958268,-13.173353,-0.06622495044413058,-0.3166090472625652,node
22,-16.104784,-14.36327,-0.08331458214720945,-0.3537850559797616,node
23,-13.385228,12.202464,-0.30903816351514074,0.029950014713975417,node
24,-12.5925,9.9990425,-0.2766362455832683,0.008174826836058403,node
25,-10.961054,8.143435,-0.23640052552593369,-0.0006479222388292626,node
26,7.7513704,13.219292,-0.03512456500278887,0.25227191000270976,node
27,9.082688,15.841716,-0.04312820520869131,0.30064474531353125,node
28,11.959669,15.823635,-0.004299973817598604,0.3288035511667505,node
29,15.078112,-6.173232,0.2547479013900164,0.06408026250435209,node
30,8.747937,-3.6387951,0.14468742234746335,0.03563637212849242,node
31,0.9340572,-10.193841,0.10442654514458338,-0.12956401662217176,node
32,-26.331554,0.6907987,-0.36931694218563815,-0.25250602899236985,node
33,-27.980362,-1.3482884,-0.37133725005722573,-0.2961765076879226,node
34,-11.863991,21.369572,-0.3790998712389625,0.16811985319701042,node
35,-11.768981,18.320173,-0.34771966339792426,0.12809178653242922,node
36,-7.995645,19.47027,-0.3083820006290019,0.1807929262522683,node
37,-5.419175,19.081438,-0.2699308016992824,0.201004362933185,node
38,-13.939538,22.25061,-0.4156807019289259,0.15946591971651178,node
39,-15.912433,20.487446,-0.42477876147606747,0.11630281387440611,node
40,-14.618099,17.571339,-0.37860254482788663,0.08990518990995583,node
41,-19.32395,14.685061,-0.4133280394853629,0.0046741581744271935,node
42,-12.308831,5.295986,-0.22639656782087625,-0.05220624244324045,node
43,-13.873506,2.6363795,-0.22116081577682037,-0.10338229339800709,node
44,23.06839,7.3265505,0.22881971693871586,0.32431855875967963,node
45,25.337442,10.025014,0.23266307486537993,0.3829702769817364,node
46,27.5694,11.79995,0.24512522363145223,0.42884901038652873,node
47,29.090662,16.195517,0.2221687557255783,0.5029175963386697,node
48,31.493813,16.924662,0.24725482677187194,0.536437062747723,goal
49,30.836277,19.179148,0.21616499562885813,0.5602328892214671,node
50,28.460932,18.654654,0.18943213985386007,0.5297372246986523,node
51,-2.7736099,16.443401,-0.20834709430279796,0.19168180764984927,node
52,-2.0813036,12.7138815,-0.1622285319192784,0.1484134473777527,node
53,6.855838,-17.713211,0.25821215472257225,-0.17212004093168928,node
54,10.174681,-19.093863,0.31642777816090206,-0.15790408930896158,node
55,12.173586,-21.680288,0.3688146681347533,-0.1729171592100689,node
56,10.143001,-23.929382,0.36373870885116577,-0.22317782909748812,node
57,7.279325,-25.20796,0.33788992319432765,-0.2686247700119104,node
58,5.720667,-27.481766,0.33939784828394054,-0.31455852709975995,node
59,3.9545534,-28.636217,0.3270684592626154,-0.3475027496862158,node
60,-8.47296,-10.018943,-0.023675142379784693,-0.22008102629318324,node
61,-9.526163,-5.2509856,-0.08489354503138717,-0.16642495468652435,node
62,-12.248102,-3.947506,-0.1343284483834693,-0.17578497875455182,node
63,-14.742852,0.0648174,-0.20745312330329727,-0.1465112263155722,node
64,-18.78159,0.5280892,-0.2662834698554964,-0.18015820766053695,node
65,-29.988476,12.295747,-0.5330091974005864,-0.13270500544231859,node
66,-29.021347,14.272566,-0.5395319354327075,-0.09660061553741917,node
67,-26.71641,14.223638,-0.5080840892308183,-0.07450345183856842,node
68,-23.645962,13.016459,-0.45491796798337975,-0.06040920138178144,node
69,-23.156855,10.628618,-0.4247743363094271,-0.08765927280321599,node
70,-22.918175,7.29427,-0.3886510058252425,-0.1300970720995535,node
71,-22.801428,-7.383798,-0.24217989259224199,-0.3261315870250269,node
72,-17.293941,-18.357618,-0.05985744113724471,-0.41918507555587964,node
73,-15.203588,-21.073793,-0.0049611368829971065,-0.435038435979615,node
74,-13.018418,-21.821678,0.03177786681635253,-0.4235135011410396,node
75,-9.569983,-21.247858,0.07243980997222424,-0.3817615748521045,node
76,-7.544011,-22.59962,0.11300164798084335,-0.37992082443985925,node
77,-4.532122,-22.692467,0.1543803367284034,-0.3514345850229303,node
78,-1.4564495,-21.97976,0.18866342437143074,-0.3114967689031966,node
79,2.6761465,-21.34693,0.2379339180465142,-0.26219803216412757,node
80,4.0197062,-18.273632,0.22564370461266223,-0.20764726217031346,node
81,3.3190608,-11.6585865,0.1509270395875575,-0.1256967048797061,node
82,3.8279164,-8.694185,0.12849833359204652,-0.08084910788487036,node
83,-21.04233,-5.0985494,-0.24110804930750512,-0.278065347011029,node
84,-19.785748,-2.3079038,-0.25177637378714357,-0.2281704054754878,node
85,-31.441936,-0.53642607,-0.4258552369256779,-0.3194427050385677,node
86,-33.909073,-1.3204811,-0.45125882764868896,-0.3543315103579087,node
87,-34.495487,-3.8168948,-0.4344920553902608,-0.3936577672891136,node
88,-32.707657,-5.320763,-0.39562784006782376,-0.39621136461048634,node
89,-28.173529,-4.186262,-0.34591563940280123,-0.33620916284496744,node
90,-26.0394,-8.555503,-0.27411209063781955,-0.3738378644881689,node
91,-26.51246,-10.728778,-0.2590125535563887,-0.40770400012846925,node
92,10.598951,-7.2813888,0.20551407385073703,0.004974619456551786,node
93,11.533516,-4.571896,0.19132086895119432,0.05060036565150944,node
94,14.229904,-2.3922784,0.20602718500721504,0.106500525637877,node
95,17.492125,-5.425441,0.279795834715067,0.09795746804591651,node
96,19.822596,-6.9743214,0.3263943178301136,0.10015615018098203,node
97,21.927252,-8.662953,0.37133880982690987,0.09824813696554707,node
98,3.092103,-0.19121419,0.034671510222111596,0.026116902944664448,node
99,3.8487468,2.1579566,0.021645212569048014,0.06514559408052446,node
100,3.5006323,-5.3603168,0.09118941838974991,-0.03929245871370388,node
101,-2.548944,-5.6502028,0.012780407053889093,-0.10290858409213412,node
102,-4.491963,-11.211457,0.04157866488655899,-0.19680077952047095,node
103,-6.168471,-13.039976,0.037107484284718564,-0.23791591755299932,node
104,-7.1689806,-16.752121,0.06031301262197453,-0.2976624355911421,node
105,18.67342,0.023900881,0.24186929848030822,0.18282643699396003,node
106,21.13379,4.4978013,0.23075561384558,0.2672182911132547,node
107,18.73598,4.622029,0.1973167463907415,0.24521586359217662,node
108,29.946562,-1.9710567,0.4130084639835914,0.26731501630158744,node
109,29.253923,-4.9540353,0.4331516046253734,0.22040353460922535,node
110,28.1186,-6.961423,0.4377165803315587,0.18222806333116787,node
111,24.396782,-10.199688,0.41968552428769695,0.10198278895210208,node
112,23.175402,-15.99288,0.46046806456729245,0.012098772254114624,node
113,21.7085,-17.808496,0.45868538825872435,-0.026773791177095736,node
114,18.767775,-18.98195,0.43076371488488474,-0.07156913329446611,node
115,17.144068,-17.085037,0.39022419179502643,-0.06211507977135143,node
116,16.261808,-14.345125,0.35132322685614553,-0.03401647460269916,node
117,4.792131,4.8517838,0.007725145251470932,0.11064795727202781,node
118,30.13349,10.026769,0.2970764640513744,0.4303407004221545,node
119,32.801365,8.181287,0.3511357438660959,0.43188567665973,node
120,35.17121,8.859056,0.3762815825826425,0.46438617842184643,node
121,36.275692,6.8376904,0.41107435914110363,0.4481343836390699,node
122,33.76432,4.9253187,0.3962153124791244,0.39765093541263075,node
123,32.432766,1.4816046,0.41232358110799217,0.33824245812399356,node
124,34.546524,2.2434144,0.4331994481250784,0.3693438484430975,node
125,-5.264901,27.014885,-0.34617770227812455,0.30910630565983704,node
126,-7.2719946,26.578197,-0.3688302489491553,0.28342565024568844,node
127,-11.388028,15.969332,-0.31939425355422435,0.10027106850527143,node
