name,case,nodes,seed,official_graph,epoch,graph_distance,pairs,latent_mean,latent_sd,normalized_mean,normalized_within_bucket_sd
local128,official32,32,0,True,0,1,48,16.075196373111208,0.9121105715021154,1.0,0.05674024443196178
local128,official32,32,0,True,0,2,87,16.157565792571457,1.0751660611783243,1.0051240070446683,0.06688354134054263
local128,official32,32,0,True,0,3,102,16.221700911653993,1.0947883278581843,1.0091137013285787,0.0681041962068609
local128,official32,32,0,True,0,4,103,16.29348923492016,1.0289170165340134,1.0135794833694278,0.06400649750413442
local128,official32,32,0,True,0,5,83,16.493124553020387,1.1088320129608042,1.0259983250100908,0.06897782068874347
local128,official32,32,0,True,0,6,52,16.38087679254181,1.1167654216440888,1.0190156569372868,0.06947133930581957
local128,official32,32,0,True,0,7,20,16.661166309442955,1.2892181414304051,1.0364518057964065,0.08019921570518822
local128,official32,32,0,True,0,8,1,17.02644819873229,0.0,1.0591751294069558,0.0
local128,official32,32,0,True,20,1,48,1.2442062671402863,0.18246995539558075,1.0,0.14665571152842213
local128,official32,32,0,True,20,2,87,1.8801653856301528,0.33600871541779387,1.511136405020343,0.27005869066234844
local128,official32,32,0,True,20,3,102,2.515143040613057,0.3676313287669299,2.021483983032751,0.29547458365717977
local128,official32,32,0,True,20,4,103,3.0822245434936333,0.4427367570441159,2.477261708846631,0.3558387131915938
local128,official32,32,0,True,20,5,83,3.606723513989094,0.43196057998293974,2.898814777937805,0.3471776275293713
local128,official32,32,0,True,20,6,52,4.033582733032095,0.47741786271946784,3.241892312842129,0.38371279371287575
local128,official32,32,0,True,20,7,20,4.543923762209052,0.5355782266367599,3.652066286929189,0.4304577470645168
local128,official32,32,0,True,20,8,1,5.167102717544101,0.0,4.1529309520521025,0.0
local128,random32_seed0,32,0,False,0,1,42,16.215275892274136,0.9578135224000937,1.0,0.0590685924040583
local128,random32_seed0,32,0,False,0,2,73,16.099512582545497,1.0077048986248656,0.9928608485913092,0.06214540568532618
local128,random32_seed0,32,0,False,0,3,116,16.119558023720668,1.0142336693697207,0.9940970558139518,0.06254803656180517
local128,random32_seed0,32,0,False,0,4,127,16.232531458804086,1.10019162097904,1.0010641549761217,0.06784908430100982
local128,random32_seed0,32,0,False,0,5,87,16.537092262823368,1.016467366204468,1.019846493682082,0.06268578918776029
local128,random32_seed0,32,0,False,0,6,37,16.572872917146235,1.262641327556368,1.0220530953187468,0.07786739713494242
local128,random32_seed0,32,0,False,0,7,13,17.091086498791814,1.115897589549963,1.0540114526780864,0.06881767519488453
local128,random32_seed0,32,0,False,0,8,1,19.331558243607475,0.0,1.192181888981495,0.0
local128,random32_seed0,32,0,False,20,1,42,1.3760805566001695,0.22386028432534885,1.0,0.1626796361969041
local128,random32_seed0,32,0,False,20,2,73,2.1463059925526755,0.3263398044086949,1.5597240890137078,0.23715167171242532
local128,random32_seed0,32,0,False,20,3,116,2.6621181883870695,0.4182410155505698,1.9345656586880822,0.30393643275063936
local128,random32_seed0,32,0,False,20,4,127,3.145982443179705,0.463239264531754,2.2861906071490217,0.3366367341722071
local128,random32_seed0,32,0,False,20,5,87,3.713507649841848,0.4071859213098874,2.6986121067044735,0.29590267761351585
local128,random32_seed0,32,0,False,20,6,37,4.299826846686949,0.3438189980587555,3.1246912297855367,0.24985383043868897
local128,random32_seed0,32,0,False,20,7,13,4.8926760321594,0.18080909911575227,3.5555157063243095,0.13139426921521988
local128,random32_seed0,32,0,False,20,8,1,5.138270988305321,0.0,3.733989964221465,0.0
local128,random32_seed1,32,1,False,0,1,56,16.073783411214567,0.7669293995299142,1.0,0.047713060448160136
local128,random32_seed1,32,1,False,0,2,131,15.861966097405318,0.9174926949888833,0.9868221868871603,0.05708007079084785
local128,random32_seed1,32,1,False,0,3,192,15.908781648953578,0.9972743915514248,0.9897347277837607,0.062043537979716304
local128,random32_seed1,32,1,False,0,4,106,15.85808224113433,1.0366000133562525,0.9865805601231541,0.06449010707914751
local128,random32_seed1,32,1,False,0,5,11,15.773554917006386,1.0371242400578542,0.9813218527009197,0.06452272085078985
local128,random32_seed1,32,1,False,20,1,56,1.0628927079995563,0.1333448152765216,1.0,0.1254546336360577
local128,random32_seed1,32,1,False,20,2,131,1.4441943124734782,0.22232932151427515,1.3587395055062144,0.20917381391459125
local128,random32_seed1,32,1,False,20,3,192,1.707614314289535,0.2497511378918215,1.6065726121156605,0.2349730466792569
local128,random32_seed1,32,1,False,20,4,106,1.9666392383291555,0.25473807728077563,1.8502707032683647,0.23966490254713646
local128,random32_seed1,32,1,False,20,5,11,2.2795988946220596,0.29425222545329716,2.1447121402426736,0.2768409485159625
local128,random32_seed2,32,2,False,0,1,54,15.922081941386397,0.9871258151030938,1.0,0.06199728268809179
local128,random32_seed2,32,2,False,0,2,123,15.690284077556123,1.0160790820896706,0.9854417365339793,0.06381571743130952
local128,random32_seed2,32,2,False,0,3,167,15.917829893775245,1.0013987074623825,0.9997329465061916,0.06289370392319353
local128,random32_seed2,32,2,False,0,4,113,15.634944445845527,0.872247629799586,0.9819660835437286,0.05478225982070509
local128,random32_seed2,32,2,False,0,5,34,15.599580493162401,0.9492856690111602,0.9797450201920067,0.059620699887473524
local128,random32_seed2,32,2,False,0,6,5,15.47060511108433,0.4584199519958585,0.971644610801271,0.028791457906285723
local128,random32_seed2,32,2,False,20,1,54,1.1110414889516012,0.13394623500995265,1.0,0.12055916573947813
local128,random32_seed2,32,2,False,20,2,123,1.5542127634138376,0.221810563363355,1.3988791407604597,0.1996420165845107
local128,random32_seed2,32,2,False,20,3,167,1.9004441948835344,0.26536752895448,1.71050695566448,0.23884574211975254
local128,random32_seed2,32,2,False,20,4,113,2.261966353530549,0.2980919765027943,2.0358972873866135,0.26829959048971186
local128,random32_seed2,32,2,False,20,5,34,2.710620017959132,0.20022847994194556,2.4397108883097807,0.1802169243300579
local128,random32_seed2,32,2,False,20,6,5,3.151452260987809,0.16823584069897746,2.836484768864551,0.15142174470705666
local128,random64_seed0,64,0,False,0,1,95,16.02338465288794,1.0459410143317158,1.0,0.06527590998966644
local128,random64_seed0,64,0,False,0,2,191,15.987527143304899,1.0307600277203521,0.9977621763216812,0.06432848302961855
local128,random64_seed0,64,0,False,0,3,345,16.01572050694523,1.0802847512860936,0.9995216899482389,0.06741926095441957
local128,random64_seed0,64,0,False,0,4,475,16.094913673801578,1.1162544371344274,1.004464039431316,0.06966408541738663
local128,random64_seed0,64,0,False,0,5,493,16.142045039038805,1.0503734017160133,1.0074054507659516,0.06555252990988401
local128,random64_seed0,64,0,False,0,6,294,16.173140088413035,1.1492822201765702,1.0093460550794493,0.07172530929471457
local128,random64_seed0,64,0,False,0,7,107,16.17469947153695,1.0110819509105011,1.0094433742886986,0.06310039812520327
local128,random64_seed0,64,0,False,0,8,16,16.32717971781255,1.170137940339035,1.018959481501922,0.07302688949229823
local128,random64_seed0,64,0,False,20,1,95,1.3021151815852288,0.15892260385593052,1.0,0.12204957449497979
local128,random64_seed0,64,0,False,20,2,191,1.9176478417329132,0.2706996460805757,1.4727175205793386,0.20789224325840278
local128,random64_seed0,64,0,False,20,3,345,2.32413207288175,0.3091847817478491,1.7848897745376806,0.23744810453053738
local128,random64_seed0,64,0,False,20,4,475,2.6744477941515954,0.29123000158950096,2.0539256680009315,0.22365917063876792
local128,random64_seed0,64,0,False,20,5,493,2.963358995514776,0.29947506019075376,2.2758040436231655,0.22999122076601938
local128,random64_seed0,64,0,False,20,6,294,3.2648290960655393,0.30023792172216507,2.5073274179100284,0.23057708409224417
local128,random64_seed0,64,0,False,20,7,107,3.5864437092449135,0.24850334232111085,2.7543213994930036,0.19084589891546802
local128,random64_seed0,64,0,False,20,8,16,3.7185215998454733,0.14733953343566655,2.855754738469794,0.11315399399328989
local128,random64_seed1,64,1,False,0,1,100,16.045569615142846,0.9711027781883949,1.0,0.06052155214682602
local128,random64_seed1,64,1,False,0,2,225,15.97202703426642,0.9523206363284142,0.9954166425598864,0.05935100212520166
local128,random64_seed1,64,1,False,0,3,438,15.97643597637148,0.9432891037630489,0.9956914188508383,0.058788134443842316
local128,random64_seed1,64,1,False,0,4,565,15.962760348050384,0.9994740683982017,0.994839119515314,0.06228972185910796
local128,random64_seed1,64,1,False,0,5,444,15.907043448283725,0.9508371651967625,0.9913667030724551,0.05925854849674015
local128,random64_seed1,64,1,False,0,6,182,15.773531898019211,0.9563542924109176,0.9830459295837711,0.059602389653301426
local128,random64_seed1,64,1,False,0,7,50,15.616480711631862,0.954904059823694,0.9732581071409248,0.05951200753399947
local128,random64_seed1,64,1,False,0,8,11,15.243773230425772,0.70228712427973,0.9500300454300864,0.043768288762834166
local128,random64_seed1,64,1,False,0,9,1,15.740098658220482,0.0,0.9809622865221265,0.0
local128,random64_seed1,64,1,False,20,1,100,1.2393273815008725,0.1402605752411688,1.0,0.11317475699706395
local128,random64_seed1,64,1,False,20,2,225,1.760477161887784,0.26080281087511004,1.4205101800912194,0.21043899680427292
local128,random64_seed1,64,1,False,20,3,438,2.092526280730337,0.3331869235754733,1.6884370602674883,0.2688449626376941
local128,random64_seed1,64,1,False,20,4,565,2.396679696998252,0.38822118752561524,1.9338551965952544,0.3132515212045623
local128,random64_seed1,64,1,False,20,5,444,2.7485573053634873,0.43084903473520964,2.2177814727492584,0.34764747488547787
local128,random64_seed1,64,1,False,20,6,182,3.1956925112842494,0.49591540666311973,2.578570084858566,0.4001488340090956
local128,random64_seed1,64,1,False,20,7,50,3.88340543663421,0.5175155053985521,3.1334782839472637,0.41757772249962005
local128,random64_seed1,64,1,False,20,8,11,4.457433579362494,0.1582346847691112,3.5966554486711755,0.1276778736038923
local128,random64_seed1,64,1,False,20,9,1,4.674215648840751,0.0,3.771574580382545,0.0
local128,random64_seed2,64,2,False,0,1,89,16.015854218455388,0.905730592883518,1.0,0.056552125196033975
local128,random64_seed2,64,2,False,0,2,165,15.934801316156138,1.0090665228315403,0.9949392082873825,0.0630042275028186
local128,random64_seed2,64,2,False,0,3,278,15.878688397691748,1.034200906178796,0.9914356225467149,0.0645735714169442
local128,random64_seed2,64,2,False,0,4,404,15.877464744338363,1.01109187179913,0.9913592199186256,0.06313068650650108
local128,random64_seed2,64,2,False,0,5,445,15.94830460569494,0.9988370360546581,0.9957823284453595,0.06236551746978805
local128,random64_seed2,64,2,False,0,6,337,16.017010203902686,0.993804422904805,1.0000721775705204,0.06205129051184946
local128,random64_seed2,64,2,False,0,7,200,16.052210395359968,1.0819699741566082,1.002270011727672,0.06755618272984981
local128,random64_seed2,64,2,False,0,8,86,16.08016395772136,0.9634321057037393,1.0040153799097313,0.06015489979882292
local128,random64_seed2,64,2,False,0,9,12,16.213952366913357,0.9274344681023297,1.01236887809766,0.05790727459504648
local128,random64_seed2,64,2,False,20,1,89,1.333415434744352,0.1400876085684937,1.0,0.10505923729265357
local128,random64_seed2,64,2,False,20,2,165,1.9795134882429644,0.24861020791463626,1.4845437038326206,0.18644617531542285
local128,random64_seed2,64,2,False,20,3,278,2.412216516502002,0.29127966262060356,1.8090509931471448,0.21844629590360853
local128,random64_seed2,64,2,False,20,4,404,2.7050672456646647,0.3383554569634108,2.028675516406701,0.25375096773818406
local128,random64_seed2,64,2,False,20,5,445,2.965132489536971,0.3610656210522252,2.2237124397059786,0.2707825420675817
local128,random64_seed2,64,2,False,20,6,337,3.230831373136135,0.34641710784418206,2.422974332643422,0.25979683361817285
local128,random64_seed2,64,2,False,20,7,200,3.4565354415291925,0.3108464575638623,2.592241961104863,0.23312048853211234
local128,random64_seed2,64,2,False,20,8,86,3.662004525307125,0.29268503583297867,2.7463342855403647,0.219500260913879
local128,random64_seed2,64,2,False,20,9,12,3.865337328522379,0.35644276635566396,2.8988244982055855,0.2673156145248931
local128,random128_seed0,128,0,False,0,1,197,15.928468403834735,0.972894572924673,1.0,0.0610789781075531
local128,random128_seed0,128,0,False,0,2,441,15.864214302811252,0.9886014594946596,0.9959660841585991,0.062065067050430064
local128,random128_seed0,128,0,False,0,3,928,15.994327594775848,0.9914479627484799,1.004134684470056,0.062243772446432546
local128,random128_seed0,128,0,False,0,4,1680,15.93609632333497,1.0196592044734476,1.0004788859359761,0.06401489324786352
local128,random128_seed0,128,0,False,0,5,2170,15.929873864495942,0.987642135718099,1.0000882357691634,0.062004840056080146
local128,random128_seed0,128,0,False,0,6,1722,15.945222920971668,0.9973268189986033,1.001051859897145,0.06261285101074122
local128,random128_seed0,128,0,False,0,7,795,15.920342469261957,1.0270224309421663,0.9994898483415504,0.06447716157662173
local128,random128_seed0,128,0,False,0,8,182,15.89760644931614,0.9276632965193052,0.9980624656598392,0.058239328038342524
local128,random128_seed0,128,0,False,0,9,13,15.672092963491606,0.7533478461792883,0.9839045767713983,0.04729568638237194
local128,random128_seed0,128,0,False,20,1,197,1.2788789580384405,0.13005993886321038,1.0,0.1016983961192839
local128,random128_seed0,128,0,False,20,2,441,1.8418479436452628,0.23803829946750335,1.4402050577720902,0.18613043710767535
local128,random128_seed0,128,0,False,20,3,928,2.169978631810533,0.29322494148636374,1.6967818714750549,0.22928279462515794
local128,random128_seed0,128,0,False,20,4,1680,2.379643887578292,0.3336353704301157,1.8607264374950836,0.26088111649115686
local128,random128_seed0,128,0,False,20,5,2170,2.583492690865024,0.3663888624510871,2.020122916736088,0.2864922126899786
local128,random128_seed0,128,0,False,20,6,1722,2.82302501713136,0.39802172823288867,2.2074215854339716,0.3112270522015461
local128,random128_seed0,128,0,False,20,7,795,3.119229913014811,0.41920961088135483,2.4390345101925224,0.32779459560765895
local128,random128_seed0,128,0,False,20,8,182,3.466168629628614,0.4591650101795103,2.7103179764135485,0.3590371139453126
local128,random128_seed0,128,0,False,20,9,13,3.752622459582872,0.4408158764183841,2.9343062030973504,0.3446892871664044
local128,random128_seed1,128,1,False,0,1,200,16.032115345580923,0.9775271544975543,1.0,0.06097306147232773
local128,random128_seed1,128,1,False,0,2,473,16.058328410809054,0.994612437147436,1.001635034720191,0.0620387525730714
local128,random128_seed1,128,1,False,0,3,1043,16.045011012638412,0.9541322069882311,1.0008043646630227,0.05951380628328795
local128,random128_seed1,128,1,False,0,4,1865,16.06696429203718,0.9842565585600351,1.0021736960909444,0.061392806709773
local128,random128_seed1,128,1,False,0,5,2253,16.025285569129373,1.0122245388512496,0.9995739940547875,0.06313730390732614
local128,random128_seed1,128,1,False,0,6,1578,16.062208276505793,1.017373169517199,1.0018770405698936,0.06345844871915962
local128,random128_seed1,128,1,False,0,7,547,16.059080570693816,0.9761978264008631,1.0016819505431218,0.06089014489718859
local128,random128_seed1,128,1,False,0,8,135,16.237922046717404,0.9439587292283994,1.0128371519727875,0.0588792376352626
local128,random128_seed1,128,1,False,0,9,31,16.41081964079455,0.7932284905013901,1.0236216049504667,0.04947746903031326
local128,random128_seed1,128,1,False,0,10,3,16.118311776223592,0.6925207325766208,1.0053764851851836,0.043195842697545624
local128,random128_seed1,128,1,False,20,1,200,1.2563967082075693,0.13729073414540424,1.0,0.10927339529667283
local128,random128_seed1,128,1,False,20,2,473,1.7758642836731504,0.25996466933254647,1.4134582429833618,0.20691288637919425
local128,random128_seed1,128,1,False,20,3,1043,2.0620539972983476,0.33482185454638613,1.6412443488809871,0.2664937374947899
