node,tsne_x,tsne_y,display_x,display_y,role,original_x,original_y
0,-30.569136,-13.9780655,-0.13469588260856355,-0.38935797194686594,node,-0.2753015880774017,0.24455867594367284
1,-28.98096,-15.309567,-0.1098622454765683,-0.3861845783096803,node,0.1341342055554893,-0.054112776505535275
2,-22.883137,-17.635689,-0.039231590444742205,-0.3511572008988578,node,-0.43736274621135157,0.10551712761566015
3,-20.373095,-16.210032,-0.03130073932976627,-0.3172002646566097,node,-0.14825552972314882,-0.22627876881214215
4,-11.080634,-23.582489,0.11029145218024632,-0.2952039594860785,node,0.22002717859342327,-0.4876734887206026
5,-13.486119,-24.475698,0.09849407923684184,-0.3238679424818627,node,-0.22707933848933964,-0.13960119930445244
6,-18.697527,5.421045,-0.2094690079508898,-0.12498960037751423,node,-0.03742875967603562,-0.055800030372825694
7,-17.179062,3.2358181,-0.17763286040375026,-0.12943403571259549,node,-0.15558003818214902,0.24559167018831982
8,-17.60375,0.48552313,-0.15671477873932074,-0.155750450367309,node,-0.0578928615914064,0.40152706407069616
9,-20.398449,-0.5157186,-0.1707447381741151,-0.18875315911205162,node,0.027358152951721487,0.052358376229064696
10,-29.394999,-20.31598,-0.06884110990922139,-0.43090360827886215,node,-0.15379787731941874,-0.1923140769215827
11,-15.800209,-36.476223,0.18598742895389164,-0.4427859715385825,node,-0.07684164366499409,0.41440104798568467
12,-13.2216625,-37.179607,0.21336825444073088,-0.4256765389695778,node,0.187203264448468,-0.2773042593187293
13,-11.509213,-36.93076,0.22520029158091492,-0.4084438922369854,node,0.10523496534674572,0.017940196194157224
14,-10.453879,-35.564293,0.2217296387183856,-0.38787805606198733,start,-0.3011154220765109,0.18199524279089188
15,-9.998984,-33.858246,0.21032352538402996,-0.3698550702402163,node,-0.2658355375602071,0.23961027729371348
16,-9.43498,-30.175913,0.18227882899259276,-0.3346612370873396,node,-0.05753362177618468,-0.4919761954887583
17,-13.5380745,-27.73895,0.12701889711043793,-0.3510831113382508,node,0.47604365802028,-0.09806202321906968
18,-16.600826,-31.611515,0.13626495020174886,-0.4100048571977584,node,-0.24497739075587058,-0.3217391082490062
19,-17.361979,-33.015793,0.14248294678658205,-0.4282707849210632,node,0.5135360118308742,-0.10829272429110293
20,-17.109888,-34.885532,0.16113762023541267,-0.4413636235067014,node,-0.230823890306732,-0.37443112653648186
21,30.719467,-11.425025,0.3451374339245908,0.1753110646456753,node,0.3408962877162752,-0.01885646552171763
22,29.32288,-13.484816,0.35196127618226014,0.14603339687404313,node,0.03174429028828988,-0.4119375373642014
23,15.185605,-7.9126153,0.18661961833193808,0.06629539792279751,node,0.24445859715792367,-0.19861506687536593
24,17.734066,6.2946444,0.08147019230497797,0.20538495785886668,node,0.3844272806999792,0.2917578963494622
25,19.167837,5.1080403,0.10375242974342008,0.20837648577226192,node,-0.28459762616112366,-0.2017796589349686
26,20.742407,4.632337,0.12088208534837008,0.2184455648607292,node,-0.4156140260863505,0.07352975964924716
27,18.962505,1.7283993,0.1320523390407294,0.17884636916960694,node,0.16734743981442224,-0.05838544995034414
28,9.62721,-22.65999,0.27188345150553406,-0.10392577155198224,node,-0.07347832957966315,0.01120618402509261
29,-7.8132915,5.0199127,-0.11667432752064005,-0.031716058838545884,node,0.5005892859050546,0.08811448662969827
30,11.4197035,14.632159,-0.04426741248020114,0.2177217551678113,node,0.4175977490573324,-0.3296019810202696
31,34.9673,-20.749502,0.4626883881934686,0.13654876389624507,node,-0.33874416145594305,0.028336111682720204
32,37.616932,-20.184198,0.47939652865595483,0.16469037303724202,goal,-0.18666982760678882,-0.32017944069404997
33,39.207,-19.412668,0.485588104744249,0.18512257569945428,node,-0.3378045343655378,0.31117438151361887
34,40.360676,-18.138767,0.4837449332886764,0.20580195756472713,node,0.05293863848418572,0.24572480360163784
35,40.328503,-16.389193,0.46795935638020314,0.2198606602316914,node,0.09686626413601207,-0.464251008376907
36,39.78567,-14.846908,0.44982609928245315,0.22768943315638362,node,0.4926203974460386,-0.16806656047815577
37,26.685768,-8.987436,0.29044088856771483,0.15950998350459486,node,0.24079223168568367,0.2053466002083987
38,29.079737,-8.414163,0.30498223384372103,0.18544875542985395,node,-0.21094493177877244,0.036156535738054364
39,31.114122,-8.384092,0.3213946558930434,0.2037438658863589,node,0.15850178410276294,-0.17754282557085396
40,32.559067,-6.240419,0.3142230875434659,0.23413827034499715,node,-0.4272798102428601,-0.06678723601721549
41,33.219692,-4.499449,0.30419385523860365,0.2542727683407397,node,0.15321973158079688,-0.01812278975085874
42,30.62593,22.313292,0.045052426685054936,0.4510895882197205,node,-0.01566974367783312,0.14496792782592893
43,28.61444,22.425056,0.02756939169410527,0.43416045987925284,node,0.08682432686671737,-0.31857513162380857
44,27.351631,24.043,0.002862072509961048,0.43622205173239725,node,0.054970939907968024,0.4282559603735761
45,25.198463,24.84959,-0.021946856751948286,0.4237326220967396,node,-0.46899637756271056,0.021396773657866627
46,19.938536,21.401531,-0.03448077637807768,0.3487984231854741,node,-0.028438165532930652,0.4190524495281238
47,-4.3476863,-13.376301,0.07494566161089261,-0.15179400404295934,node,0.32330252090065265,0.3734227553032437
48,-6.338696,-13.457773,0.059344890426477635,-0.17012572077065988,node,0.36575581556997117,0.32833685568984966
49,-9.747341,-13.281898,0.0298383014674129,-0.19892445402025796,node,-0.27431193634049267,-0.2008036854171091
50,-11.413878,-13.120007,0.01473870262597738,-0.21238228125074662,node,-0.04346780091169054,0.07136970966097014
51,-18.762901,17.690304,-0.31885486961635556,-0.024978332484914715,node,0.28465426728796606,-0.27216817452043374
52,-17.36766,19.324087,-0.32191031920474605,0.0007947078771662597,node,-0.34006468574870463,-0.3242547352803245
53,-4.0158777,16.622744,-0.18847818641926106,0.09710112132209829,node,0.2643428544069802,0.06504097930176796
54,-2.4997623,15.248452,-0.16385571877599497,0.09928440824399977,node,0.26472652437954325,-0.07653834560199405
55,-7.979118,18.154701,-0.23456252222998691,0.07450019427185385,node,0.07776113518576533,0.08543288384279764
56,-8.771637,20.476507,-0.2616586034539248,0.08650480766534313,node,0.10976238661714237,0.3831426725054843
57,-6.775766,23.941393,-0.27603479162641703,0.1326190495395958,node,-0.09424837570605295,0.21089141515645218
58,-3.87352,23.590256,-0.24912511814700428,0.15548821807847701,node,0.0059162204308310816,-0.4621863380254825
59,-3.3306112,21.74013,-0.22826013459697794,0.14513625007002792,node,-0.3467808144118191,0.22974350687249823
60,-2.2483969,18.132633,-0.18738261616836463,0.12516082679023427,node,-0.026530600074160363,0.468473309871511
61,-0.4640294,16.647448,-0.1595770220372544,0.1288147964165357,node,-0.03745827470604397,-0.44037587921297733
62,11.402216,32.777798,-0.20539447620870285,0.3663361911462184,node,-0.25381322285920854,0.23031672011399137
63,12.753435,32.233475,-0.1894872139100297,0.3738611701800786,node,-0.08795785401037795,-0.09017977684063963
64,14.1089525,30.983164,-0.1672813589719203,0.3756361400815883,node,0.14903573394817296,0.41928834652886876
65,-15.104499,3.9574928,-0.16702679017597416,-0.10511227583580222,node,-0.4500910965213745,-0.10394575147149047
66,-12.582865,4.655109,-0.15254189698661574,-0.07702144740219004,node,-0.19204852289426144,0.027181990563173688
67,-13.686074,7.9649377,-0.19095071564397373,-0.059672750961123636,node,-0.32799112343453857,0.01873953462401635
68,-14.749765,9.148564,-0.2101723812119127,-0.05940543351160912,node,-0.05119257679645574,0.3704179244794624
69,-16.677288,9.441449,-0.2285738432118091,-0.07410467949501348,node,0.0362590539475989,-0.43345777979418065
70,-19.088959,8.666577,-0.24147179178382736,-0.10185333123095933,node,-0.25790404146420504,-0.21461507339197627
71,-20.759445,10.156025,-0.2683815276760101,-0.10446203403561904,node,0.08734161646216855,0.4572186779523672
72,-21.54273,11.677643,-0.2883028253044292,-0.0989359499589429,node,-0.09353682655982315,-0.04328200876807938
73,-21.601004,13.605503,-0.3058840945086964,-0.08364710187566785,node,0.03745266048968389,0.029926610812960486
74,-20.436867,16.37151,-0.32087909019562066,-0.050641667747320894,node,0.0751835583235371,-0.0745220959294156
75,-32.173004,18.742868,-0.43813758995212027,-0.1353199025658716,node,-0.4580489205717308,-0.01696420957853264
76,-33.323612,20.39809,-0.46225573908349504,-0.13195724640376016,node,0.2139845946874897,0.3247002998108149
77,-32.7464,22.07286,-0.4723815295161993,-0.11310550913711839,node,-0.3615720235147887,-0.16293873070487125
78,-30.72313,22.617456,-0.4606249880804622,-0.09069060806677068,node,0.1925398915144217,0.2922486406163923
79,-30.033283,20.816021,-0.43898729063198305,-0.09933978510415452,node,0.15192459328364538,-0.110117285268976
80,-30.190456,18.381977,-0.4186816518097636,-0.12069003984249398,node,0.13357079002644826,0.2949709237292334
81,-30.056671,10.782657,-0.3501654727143267,-0.1818072318992609,node,0.3999665824119934,-0.2660596165891345
82,-30.229279,8.109631,-0.32786618195438344,-0.20525374502432978,node,-0.009376143775802353,-0.1333864881767021
83,-29.954891,6.2947,-0.30951495711766097,-0.21769941079115748,node,-0.07583000398381629,0.19541934874237774
84,-29.17133,4.6442175,-0.28844813518272094,-0.2242795572321601,node,-0.2681226143277969,-0.021414071936543065
85,-27.89846,3.2273574,-0.26544230190627205,-0.2246032979823334,node,-0.05298766043694628,-0.001110016177708011
86,-25.202763,1.2470106,-0.2257720866474618,-0.21692387712473407,node,-0.020393291276694175,-0.10175468589225468
87,-22.732147,0.09354081,-0.1952830943691918,-0.20446206316004203,node,-0.0016945081773628093,0.17025823041820828
88,-10.537699,-2.4180663,-0.07302282707443698,-0.11686765642412604,node,0.2186117587740822,-0.47397692522142676
89,-9.898623,5.354977,-0.1367438258482182,-0.04746954333776495,node,-0.13671072193525777,0.02548146381769766
90,-11.302916,20.605778,-0.2835585057261994,0.06510776257620039,node,-0.05304527786133533,-0.3358669474987431
91,-13.672992,21.50559,-0.3109728295327802,0.051458264889480534,node,-0.0996561808538631,0.43015596661830335
92,-16.567102,22.118256,-0.3401360134649353,0.030805449537358264,node,0.07465053601125517,0.3761168012555471
93,-17.420275,24.25874,-0.36612071915251754,0.04078537180077595,node,0.16484160401377643,0.06191020487799604
94,-17.73371,25.827534,-0.3826084179325194,0.050866637621423856,node,0.4517543019112479,0.16324950535291058
95,-17.703878,29.876457,-0.41828490896928544,0.0843269617887114,node,-0.3079127838681151,0.07273005089567867
96,-15.775473,31.490427,-0.41679334926070916,0.11466766803317051,node,-0.2531506010874019,0.1988365022782118
97,-16.234695,33.48662,-0.43826810718200043,0.12695964060007403,node,-0.1646676433281918,0.13774591361588054
98,-19.276913,33.67386,-0.4648712744394966,0.10150491651164702,node,-0.018537382317953044,-0.13262921935517635
99,-21.02071,35.63259,-0.49654544215826585,0.10209331714151608,node,-0.2600186924239301,0.051712750558293
100,-22.062971,36.683266,-0.514411895255751,0.10146073287716408,node,0.06554371695448305,-0.3846515261791808
101,-10.543473,-21.026209,0.09201674606069847,-0.26948037499009025,node,0.28495011640460255,-0.3604949622199014
102,-12.482236,-20.08929,0.06780941554823185,-0.27899914893015737,node,0.4016969828027839,0.2462059452538996
103,-14.245983,-19.99014,0.05246945272404351,-0.2938337922594583,node,0.29151129650606267,-0.1776346862915055
104,-16.474157,-18.63141,0.02214713463423045,-0.30246186079459747,node,-0.2367079428505246,0.26108433755499655
105,-18.131956,-19.635134,0.01746022472519348,-0.32539861415937216,node,0.07625159289455316,-0.23585587693484947
106,-20.463726,-20.629976,0.007168880234423129,-0.35424186684807435,node,-0.3208163328341009,-0.15576227454515013
107,-22.228348,-20.857803,-0.00527739405336973,-0.37176503400316274,node,-0.2508008900322786,-0.07111038293524287
108,-21.815802,-24.502563,0.03044034906472582,-0.3979871058282242,node,-0.036402887179198935,0.34532291842655555
109,-23.994284,-25.153149,0.01835158948468309,-0.42264798310362395,node,-0.04351856576541566,-0.1274701193693382
110,-25.30231,-24.166351,-0.001127082756064236,-0.42616208541433354,node,-0.06675440060321224,-0.41021482504375956
111,-25.360498,-21.818459,-0.02243407442547898,-0.40742878004761257,node,0.3982282343279428,0.022529740319769984
112,-27.433334,-19.08678,-0.06366329533860421,-0.40342242788467864,node,0.1538452497037808,0.032788761256165436
113,-27.150448,-16.184483,-0.08709249186815016,-0.37711782758572643,node,0.4234169401988359,0.2723007195577233
